year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,489,Area,0.001387,0.059923,0.008323,0.005132,1.761773,57.842651,0.009016,0.002219,0,0,0
1990,Annual,496,Area,0.000829,0.028595,0.003978,0.003232,0.964104,34.562546,0.005387,0.001326,0,0,0
1990,Annual,503,Area,0.000031,0.000932,0.000137,0.000134,0.03169,1.300009,0.000203,0.00005,0,0,0
1990,Annual,505,Area,0.000125,0.003728,0.000549,0.000536,0.126733,5.198979,0.00081,0.000199,0,0,0
1990,Annual,507,Area,0.00001,0.000298,0.000044,0.000043,0.010137,0.415855,0.000065,0.000016,0,0,0
1990,Annual,510,Area,0.000001,0.000037,0.000005,0.000005,0.001266,0.051916,0.000008,0.000002,0,0,0
1990,Annual,511,Area,0.001289,0.055703,0.007737,0.004771,1.637688,53.768677,0.008381,0.002063,0,0,0
1990,Annual,520,Area,0.000379,0.013068,0.001818,0.001477,0.440584,15.794655,0.002462,0.000606,0,0,0
1990,Annual,527,Area,0.000941,0.032477,0.004518,0.003671,1.094981,39.254402,0.006119,0.001506,0,0,0
1990,Annual,534,Area,0.000113,0.01,0,0.000113,0.14,4.716558,0.000735,0.000181,0,0,0
1990,Annual,541,Area,0.001245,0.042968,0.005978,0.004857,1.448706,51.935211,0.008095,0.001993,0,0,0
1990,Annual,548,Area,0.001431,0.049384,0.006871,0.005583,1.665028,59.690247,0.009304,0.00229,0,0,0
1990,Annual,555,Area,0.000377,0.1,0.01,0.00113,0.82,15.703476,0.002448,0.000603,0,0,0
1990,Annual,562,Area,0.000245,0.007324,0.001078,0.001053,0.248979,10.213892,0.001592,0.000392,0,0,0
1990,Annual,593,Area,0.000012,0.000373,0.000055,0.000054,0.012668,0.519686,0.000081,0.00002,0,0,0
1990,Annual,597,Area,0.000971,0.0335,0.004661,0.003787,1.129486,40.491364,0.006312,0.001554,0,0,0
1990,Annual,615,Area,0.000338,0.010121,0.001489,0.001456,0.34408,14.115219,0.0022,0.000542,0,0,0
1990,Annual,619,Area,0,0,0,0,0,0.000001,0,0,0,0,0
1990,Annual,626,Area,0.000072,0.002149,0.000316,0.000309,0.073064,2.997332,0.000467,0.000115,0,0,0
1990,Annual,632,Area,0.000065,0.001941,0.000286,0.000279,0.065988,2.707029,0.000422,0.000104,0,0,0
1990,Annual,639,Area,0.44,0.78,0.32,0.03,1.79,14.484207,0.001589,0.000519,0,0,0
